"samplesize","run","coeflearn","TPR","TNR","Accuracy","CVAccuracy","AUC","Concordance"
8000,5,Freund,0.752,0.70875,0.730375,0.707375,0.814098562500005,0.8140603125
8000,5,Zhu,0.7335,0.72,0.72675,0.7065,0.812616875000003,0.812592625
9000,1,Breiman,0.760666666666667,0.683111111111111,0.721888888888889,0.710444444444444,0.805662987654323,0.80564775308642
9000,1,Freund,0.776666666666667,0.689111111111111,0.732888888888889,0.704333333333333,0.816770814814816,0.816747111111111
9000,1,Zhu,0.769111111111111,0.699777777777778,0.734444444444444,0.706111111111111,0.815286395061731,0.815260938271605
9000,2,Breiman,0.745777777777778,0.694888888888889,0.720333333333333,0.706333333333333,0.803043012345678,0.803017481481481
9000,2,Freund,0.758444444444444,0.695555555555556,0.727,0.706555555555556,0.812140419753089,0.812134419753086
9000,2,Zhu,0.743333333333333,0.704,0.723666666666667,0.705666666666667,0.808800567901237,0.808783802469136
9000,3,Breiman,0.767333333333333,0.682666666666667,0.725,0.710666666666667,0.807149012345682,0.807131407407407
9000,3,Freund,0.782888888888889,0.689333333333333,0.736111111111111,0.709555555555556,0.817714938271604,0.817707358024691
9000,3,Zhu,0.776666666666667,0.694888888888889,0.735777777777778,0.707666666666667,0.816424444444447,0.816418567901235
9000,4,Breiman,0.772444444444444,0.686222222222222,0.729333333333333,0.715888888888889,0.811873185185184,0.811813827160494
9000,4,Freund,0.775333333333333,0.688666666666667,0.732,0.712333333333333,0.815001901234569,0.814948839506173
9000,4,Zhu,0.775111111111111,0.698,0.736555555555556,0.718888888888889,0.817779728395061,0.817763802469136
9000,5,Breiman,0.766888888888889,0.670222222222222,0.718555555555556,0.705333333333333,0.799320888888888,0.79928987654321
9000,5,Freund,0.776444444444444,0.695111111111111,0.735777777777778,0.704333333333333,0.815148592592593,0.815142074074074
9000,5,Zhu,0.782444444444444,0.687555555555556,0.735,0.702111111111111,0.814835382716052,0.814821679012346
10000,1,Breiman,0.7668,0.6732,0.72,0.7086,0.803232379999997,0.80320708
10000,1,Freund,0.7674,0.6802,0.7238,0.7069,0.808104239999998,0.80808876
10000,1,Zhu,0.7788,0.6824,0.7306,0.7056,0.812167780000003,0.81214988
10000,2,Breiman,0.7598,0.6828,0.7213,0.7133,0.802699919999998,0.80265988
10000,2,Freund,0.739,0.7038,0.7214,0.7049,0.804339340000002,0.80432396
10000,2,Zhu,0.7592,0.6934,0.7263,0.7043,0.805136579999999,0.8051136
10000,3,Breiman,0.7734,0.674,0.7237,0.7121,0.806108560000001,0.80608172
10000,3,Freund,0.7832,0.6842,0.7337,0.7063,0.817697780000002,0.81769252
10000,3,Zhu,0.7764,0.6848,0.7306,0.7097,0.812685939999999,0.81265628
10000,4,Breiman,0.7548,0.7026,0.7287,0.7141,0.811839580000001,0.8118182
10000,4,Freund,0.72,0.725,0.7225,0.7106,0.807386479999998,0.80735644
10000,4,Zhu,0.7442,0.7098,0.727,0.7106,0.8117845,0.81172156
10000,5,Breiman,0.763,0.6902,0.7266,0.7121,0.810269740000001,0.8102422
10000,5,Freund,0.7734,0.6966,0.735,0.7093,0.81802116,0.81800776
10000,5,Zhu,0.7686,0.6992,0.7339,0.711,0.816285759999997,0.81627664
11000,1,Breiman,0.761272727272727,0.676545454545455,0.718909090909091,0.712181818181818,0.797656892561983,0.797619041322314
11000,1,Freund,0.767818181818182,0.689636363636364,0.728727272727273,0.706454545454545,0.807217900826445,0.807204561983471
11000,1,Zhu,0.775272727272727,0.676363636363636,0.725818181818182,0.706363636363636,0.806508975206612,0.806494413223141
11000,2,Breiman,0.755636363636364,0.679818181818182,0.717727272727273,0.708272727272727,0.797872247933881,0.797835669421488
11000,2,Freund,0.765454545454545,0.688363636363636,0.726909090909091,0.707545454545455,0.805474595041324,0.805465785123967
11000,2,Zhu,0.772363636363636,0.671636363636364,0.722,0.701727272727273,0.803823173553723,0.803809487603306
11000,3,Breiman,0.765454545454545,0.678545454545455,0.722,0.714181818181818,0.802099140495867,0.80204505785124
11000,3,Freund,0.757636363636364,0.689090909090909,0.723363636363636,0.710090909090909,0.806346876033054,0.806330578512397
11000,3,Zhu,0.784909090909091,0.671272727272727,0.728090909090909,0.710545454545455,0.806786280991733,0.806778314049587
11000,4,Breiman,0.747818181818182,0.680909090909091,0.714363636363636,0.71,0.797481851239669,0.797467867768595
11000,4,Freund,0.768545454545455,0.684363636363636,0.726454545454545,0.703727272727273,0.808018082644628,0.807989421487603
11000,4,Zhu,0.761272727272727,0.697818181818182,0.729545454545454,0.707454545454545,0.810654644628104,0.810645884297521
11000,5,Breiman,0.762,0.674,0.718,0.707272727272727,0.803383950413223,0.803354842975207
11000,5,Freund,0.766363636363636,0.687090909090909,0.726727272727273,0.705,0.809428694214876,0.809408429752066
11000,5,Zhu,0.762181818181818,0.695636363636364,0.728909090909091,0.705818181818182,0.813682859504137,0.813671570247934
12000,1,Breiman,0.762,0.679333333333333,0.720666666666667,0.709,0.80347086111111,0.803445138888889
12000,1,Freund,0.729,0.7075,0.71825,0.706166666666667,0.803065125000002,0.803048222222222
12000,1,Zhu,0.746333333333333,0.697166666666667,0.72175,0.707166666666667,0.804892263888891,0.804884777777778
12000,2,Breiman,0.7425,0.701833333333333,0.722166666666667,0.714,0.801976166666667,0.801951555555556
12000,2,Freund,0.755333333333333,0.708833333333333,0.732083333333333,0.71425,0.810563111111109,0.810553388888889
12000,2,Zhu,0.744333333333333,0.711333333333333,0.727833333333333,0.71375,0.808481083333336,0.808458805555556
12000,3,Breiman,0.764,0.680833333333333,0.722416666666667,0.71375,0.804182055555555,0.804158722222222
12000,3,Freund,0.761666666666667,0.685,0.723333333333333,0.709333333333333,0.804884458333335,0.804789611111111
12000,3,Zhu,0.7555,0.691833333333333,0.723666666666667,0.709583333333333,0.805985722222221,0.805966194444444
12000,4,Breiman,0.757166666666667,0.691833333333333,0.7245,0.712916666666667,0.802680361111112,0.802655972222222
12000,4,Freund,0.762333333333333,0.6885,0.725416666666667,0.711083333333333,0.806595833333334,0.806583555555556
12000,4,Zhu,0.7475,0.703,0.72525,0.707583333333333,0.803329111111114,0.803313416666667
12000,5,Breiman,0.766666666666667,0.681,0.723833333333333,0.710833333333333,0.806216416666668,0.806189
12000,5,Freund,0.773166666666667,0.687166666666667,0.730166666666667,0.708666666666667,0.811497263888887,0.811475722222222
12000,5,Zhu,0.775,0.689,0.732,0.710916666666667,0.812814958333337,0.812790611111111
13000,1,Breiman,0.761692307692308,0.692307692307692,0.727,0.712923076923077,0.803665775147931,0.803645538461538
13000,1,Freund,0.765076923076923,0.685692307692308,0.725384615384615,0.712076923076923,0.80403569230769,0.804021017751479
13000,1,Zhu,0.764153846153846,0.687846153846154,0.726,0.709923076923077,0.805893881656804,0.805850035502959
13000,2,Breiman,0.767230769230769,0.682615384615385,0.724923076923077,0.716846153846154,0.804912224852073,0.804865325443787
13000,2,Freund,0.767076923076923,0.694923076923077,0.731,0.711846153846154,0.81033280473373,0.810300094674556
13000,2,Zhu,0.768923076923077,0.677538461538462,0.723230769230769,0.712384615384615,0.804351763313608,0.804320426035503
13000,3,Breiman,0.766,0.691538461538462,0.728769230769231,0.716615384615385,0.809551514792905,0.809503834319527
13000,3,Freund,0.763230769230769,0.696923076923077,0.730076923076923,0.717153846153846,0.81166147928994,0.811640591715976
13000,3,Zhu,0.767538461538462,0.693538461538462,0.730538461538462,0.715,0.813448982248526,0.813428710059172
13000,4,Breiman,0.762769230769231,0.687692307692308,0.725230769230769,0.718923076923077,0.808917715976333,0.808875786982248
13000,4,Freund,0.756307692307692,0.699230769230769,0.727769230769231,0.715230769230769,0.81318507692308,0.813141562130178
13000,4,Zhu,0.772769230769231,0.696923076923077,0.734846153846154,0.720153846153846,0.817232000000001,0.817218295857988
13000,5,Breiman,0.756923076923077,0.674153846153846,0.715538461538462,0.707692307692308,0.79636618934911,0.796296402366864
13000,5,Freund,0.767846153846154,0.674769230769231,0.721307692307692,0.707846153846154,0.799949455621302,0.79992949112426
13000,5,Zhu,0.770307692307692,0.673384615384615,0.721846153846154,0.705538461538462,0.803636402366866,0.803622887573964
14000,1,Breiman,0.767,0.666285714285714,0.716642857142857,0.709428571428571,0.798429734693876,0.798363693877551
14000,1,Freund,0.769857142857143,0.668,0.718928571428571,0.707285714285714,0.800938479591834,0.800911081632653
14000,1,Zhu,0.773571428571429,0.661142857142857,0.717357142857143,0.707857142857143,0.80120781632653,0.801184081632653
14000,2,Breiman,0.768,0.672857142857143,0.720428571428571,0.712785714285714,0.801096795918366,0.801063653061225
14000,2,Freund,0.758,0.696714285714286,0.727357142857143,0.709928571428571,0.809983673469387,0.809957306122449
14000,2,Zhu,0.769714285714286,0.69,0.729857142857143,0.712928571428571,0.809851112244894,0.809838
14000,3,Breiman,0.76,0.692714285714286,0.726357142857143,0.716,0.805466642857144,0.80544906122449
14000,3,Freund,0.771142857142857,0.687428571428571,0.729285714285714,0.714571428571429,0.809571122448983,0.809559897959184
14000,3,Zhu,0.761571428571429,0.696428571428571,0.729,0.715928571428571,0.808238193877549,0.808213265306122
14000,4,Breiman,0.767142857142857,0.671428571428571,0.719285714285714,0.709071428571429,0.79945074489796,0.799422081632653
14000,4,Freund,0.770714285714286,0.677571428571429,0.724142857142857,0.707285714285714,0.803527428571429,0.803513204081633
14000,4,Zhu,0.765571428571429,0.681857142857143,0.723714285714286,0.706714285714286,0.802689295918366,0.802674469387755
14000,5,Breiman,0.762,0.681428571428571,0.721714285714286,0.712857142857143,0.799573775510207,0.799521979591837
14000,5,Freund,0.760571428571429,0.695714285714286,0.728142857142857,0.709785714285714,0.80488932653061,0.804862510204082
14000,5,Zhu,0.768571428571429,0.681714285714286,0.725142857142857,0.709,0.801483540816327,0.801432224489796
15000,1,Breiman,0.764,0.6688,0.7164,0.709933333333333,0.795374711111111,0.795327875555556
15000,1,Freund,0.711733333333333,0.6916,0.701666666666667,0.704133333333333,0.792998302222216,0.792990844444444
15000,1,Zhu,0.773733333333333,0.655733333333333,0.714733333333333,0.7034,0.795236355555555,0.795155715555556
15000,2,Breiman,0.768533333333333,0.665066666666667,0.7168,0.712466666666667,0.801552355555555,0.801514364444444
15000,2,Freund,0.773466666666667,0.6728,0.723133333333333,0.713266666666667,0.804344559999999,0.804317155555556
15000,2,Zhu,0.770533333333333,0.669733333333333,0.720133333333333,0.710466666666667,0.802801991111106,0.802787413333333
15000,3,Breiman,0.764133333333333,0.674,0.719066666666667,0.709733333333333,0.801091475555558,0.80108416
15000,3,Freund,0.768133333333333,0.685466666666667,0.7268,0.7092,0.808427004444441,0.8084136
15000,3,Zhu,0.757866666666667,0.685733333333333,0.7218,0.7098,0.806578186666664,0.806568213333333
15000,4,Breiman,0.747466666666667,0.676666666666667,0.712066666666667,0.703666666666667,0.793911804444445,0.793868871111111
15000,4,Freund,0.7588,0.6708,0.7148,0.703533333333333,0.79587598222222,0.79583584
15000,4,Zhu,0.763733333333333,0.661466666666667,0.7126,0.701733333333333,0.79114904888888,0.791102648888889
15000,5,Breiman,0.749333333333333,0.6784,0.713866666666667,0.708133333333333,0.794274604444445,0.794243822222222
15000,5,Freund,0.742266666666667,0.696133333333333,0.7192,0.705,0.800825511111109,0.800802986666667
15000,5,Zhu,0.760133333333333,0.68,0.720066666666667,0.703933333333333,0.80016312888889,0.800138915555556
16000,1,Breiman,0.7575,0.674375,0.7159375,0.7075,0.794431523437501,0.794395515625
16000,1,Freund,0.7655,0.667,0.71625,0.70325,0.7994794375,0.799438296875
16000,1,Zhu,0.759875,0.665,0.7124375,0.703375,0.797161039062499,0.7971473125
16000,2,Breiman,0.747375,0.682,0.7146875,0.7091875,0.798278031249999,0.7982485625
16000,2,Freund,0.759875,0.679625,0.71975,0.7085625,0.801865164062503,0.80183571875
16000,2,Zhu,0.75175,0.686125,0.7189375,0.706625,0.800258007812501,0.80022740625
16000,3,Breiman,0.7575,0.671,0.71425,0.71,0.799227609375001,0.79910815625
16000,3,Freund,0.751375,0.693375,0.722375,0.7093125,0.805359335937503,0.8053339375
16000,3,Zhu,0.755125,0.691875,0.7235,0.7071875,0.806474906250002,0.806436484375
16000,4,Breiman,0.752,0.674625,0.7133125,0.7094375,0.795640484374999,0.795608140625
16000,4,Freund,0.779875,0.657375,0.718625,0.705,0.796262656249999,0.79622959375
16000,4,Zhu,0.758375,0.683,0.7206875,0.7076875,0.800222710937502,0.800172125
16000,5,Breiman,0.758625,0.68275,0.7206875,0.712875,0.803492523437503,0.803461
16000,5,Freund,0.754625,0.693375,0.724,0.7128125,0.807043820312501,0.807020609375
16000,5,Zhu,0.764375,0.685875,0.725125,0.7085625,0.808711843750002,0.808670484375
17000,1,Breiman,0.760705882352941,0.673529411764706,0.717117647058824,0.709764705882353,0.795918671280273,0.795882643598616
17000,1,Freund,0.744352941176471,0.690117647058824,0.717235294117647,0.709294117647059,0.796044069204151,0.796032041522491
17000,1,Zhu,0.742352941176471,0.689176470588235,0.715764705882353,0.707529411764706,0.796493245674743,0.796471100346021
17000,2,Breiman,0.761529411764706,0.665058823529412,0.713294117647059,0.707647058823529,0.793963681660901,0.793881965397924
17000,2,Freund,0.764941176470588,0.662117647058823,0.713529411764706,0.705705882352941,0.792942470588237,0.792922491349481
17000,2,Zhu,0.757294117647059,0.677058823529412,0.717176470588235,0.703588235294118,0.798030968858132,0.79799475432526
17000,3,Breiman,0.765176470588235,0.671411764705882,0.718294117647059,0.709764705882353,0.79626271280277,0.796227653979239
17000,3,Freund,0.739529411764706,0.694588235294118,0.717058823529412,0.706,0.800508006920413,0.800490173010381
