SampleSize|Layers|TrainingRun|TrainingAccuracy|cvAUC|TrainingTPR|TrainingTNR|TrainingAUC|TrainingConcordance|TrainingPrecision|TrainingF1Score
7000|(30, 22, 14, 9, 6)|15|0.736428571429|0.765745306122|0.674|0.798857142857|0.801999510204|0.801999510204|0.770159973882|0.718878561633
7000|(30, 22, 14, 9, 6)|16|0.739714285714|0.76544244898|0.666857142857|0.812571428571|0.815521387755|0.815521387755|0.780602006689|0.719260400616
7000|(30, 22, 14, 9, 6)|17|0.724857142857|0.762191020408|0.693714285714|0.756|0.794183591837|0.794183591837|0.739792809263|0.716012975523
7000|(30, 22, 14, 9, 6)|18|0.731714285714|0.763829387755|0.677428571429|0.786|0.809836653061|0.809836653061|0.759935897436|0.716314199396
7000|(30, 22, 14, 9, 6)|19|0.727285714286|0.768912653061|0.675142857143|0.779428571429|0.796447918367|0.796446530612|0.75374800638|0.712283345893
7000|(30, 22, 14, 9, 6)|20|0.725|0.766052244898|0.647428571429|0.802571428571|0.795306040816|0.795306040816|0.766317213392|0.701873935264
8000|(30, 22, 14, 9, 6)|1|0.7125|0.758206875|0.6665|0.7585|0.7919196875|0.7919196875|0.734030837004|0.698637316562
8000|(30, 22, 14, 9, 6)|2|0.727625|0.7604309375|0.6865|0.76875|0.8039568125|0.8038825|0.748025061291|0.71594316256
8000|(30, 22, 14, 9, 6)|3|0.722|0.761245|0.64225|0.80175|0.79639525|0.79639525|0.764128494943|0.697908177126
8000|(30, 22, 14, 9, 6)|4|0.729125|0.7620559375|0.66575|0.7925|0.80383025|0.80383025|0.76238190667|0.710796743627
8000|(30, 22, 14, 9, 6)|5|0.725375|0.773451875|0.69825|0.7525|0.7975306875|0.7975306875|0.738302934179|0.717718103559
8000|(30, 22, 14, 9, 6)|6|0.738625|0.770011875|0.69625|0.781|0.8099499375|0.8099499375|0.76072111445|0.727059130662
8000|(30, 22, 14, 9, 6)|7|0.735625|0.765899375|0.6685|0.80275|0.8039005|0.8039005|0.772162864568|0.71660190272
8000|(30, 22, 14, 9, 6)|8|0.73075|0.767059375|0.729|0.7325|0.8000171875|0.8000171875|0.731560461616|0.730277986476
8000|(30, 22, 14, 9, 6)|9|0.728625|0.760588125|0.67175|0.7855|0.803169875|0.803169875|0.757968970381|0.712259774685
8000|(30, 22, 14, 9, 6)|10|0.729375|0.759416875|0.666|0.79275|0.802098625|0.802098625|0.76266819353|0.711063659415
8000|(30, 22, 14, 9, 6)|11|0.727625|0.76462375|0.7|0.75525|0.8043561875|0.8043561875|0.740936755755|0.71988687492
8000|(30, 22, 14, 9, 6)|12|0.72025|0.7537159375|0.6625|0.778|0.79261934375|0.7926193125|0.749010740531|0.70310427169
8000|(30, 22, 14, 9, 6)|13|0.715625|0.7594275|0.655|0.77625|0.78521|0.78521|0.745376955903|0.697272122422
8000|(30, 22, 14, 9, 6)|14|0.707375|0.7596328125|0.6615|0.75325|0.7892848125|0.7892848125|0.728323699422|0.693305384515
8000|(30, 22, 14, 9, 6)|15|0.7395|0.7634959375|0.685|0.794|0.80807840625|0.808078375|0.768799102132|0.724484399788
8000|(30, 22, 14, 9, 6)|16|0.722375|0.76980125|0.681|0.76375|0.79808025|0.79808025|0.742436631235|0.710392489242
