"samplesize","run","shrinkage","LossFunc","Predictors","OptNumTrees","TPR","TNR","Accuracy","AUC","Concordance"
5000,3,0.05,bernoulli,32,158,0.7656,0.6612,0.7134,0.79628848,0.79624128
5000,3,0.05,adaboost,34,135,0.7532,0.6632,0.7082,0.793098080000002,0.79299632
5000,3,0.06,bernoulli,31,110,0.7588,0.6656,0.7122,0.793212,0.79308256
5000,3,0.06,adaboost,33,118,0.7644,0.6516,0.708,0.792532080000002,0.79249952
5000,3,0.07,bernoulli,34,146,0.7556,0.6752,0.7154,0.799828639999999,0.79981744
5000,3,0.07,adaboost,34,97,0.7604,0.654,0.7072,0.7916152,0.79150464
5000,3,0.08,bernoulli,34,127,0.7628,0.6712,0.717,0.800157999999998,0.800096
5000,3,0.08,adaboost,33,113,0.7644,0.6552,0.7098,0.796417119999999,0.79633952
5000,3,0.09,bernoulli,34,107,0.7636,0.6656,0.7146,0.797559520000001,0.79753136
5000,3,0.09,adaboost,29,72,0.7624,0.654,0.7082,0.791088800000001,0.7908576
5000,3,0.1,bernoulli,31,80,0.7668,0.6668,0.7168,0.794493439999999,0.7944168
5000,3,0.1,adaboost,34,94,0.756,0.6648,0.7104,0.794787280000001,0.79473408
5000,4,0.001,bernoulli,37,16163,0.7584,0.6928,0.7256,0.809248480000001,0.80924848
5000,4,0.001,adaboost,37,10884,0.7576,0.6692,0.7134,0.798158880000005,0.79815888
5000,4,0.01,bernoulli,37,1146,0.7524,0.6828,0.7176,0.800513839999998,0.80051264
5000,4,0.01,adaboost,37,1193,0.7552,0.6708,0.713,0.799964959999997,0.79996384
5000,4,0.02,bernoulli,37,742,0.762,0.6908,0.7264,0.807185840000003,0.8071848
5000,4,0.02,adaboost,37,532,0.758,0.6704,0.7142,0.79684776,0.79684352
5000,4,0.03,bernoulli,37,611,0.7624,0.6916,0.727,0.810692159999999,0.81069056
5000,4,0.03,adaboost,36,255,0.7576,0.6612,0.7094,0.792311039999998,0.79229888
5000,4,0.04,bernoulli,36,418,0.764,0.694,0.729,0.808543359999999,0.80853904
5000,4,0.04,adaboost,36,291,0.762,0.6652,0.7136,0.798068800000002,0.79805296
5000,4,0.05,bernoulli,37,262,0.7628,0.6868,0.7248,0.802255439999998,0.80224848
5000,4,0.05,adaboost,35,206,0.7548,0.6692,0.712,0.796061119999998,0.79604544
5000,4,0.06,bernoulli,35,137,0.7512,0.6752,0.7132,0.794519760000002,0.79448272
5000,4,0.06,adaboost,35,176,0.758,0.6744,0.7162,0.797368880000001,0.7973472
5000,4,0.07,bernoulli,33,132,0.7516,0.6728,0.7122,0.793870640000002,0.7938368
5000,4,0.07,adaboost,34,109,0.7524,0.662,0.7072,0.790316160000002,0.79027792
5000,4,0.08,bernoulli,32,114,0.756,0.676,0.716,0.794490239999997,0.79445088
5000,4,0.08,adaboost,34,139,0.7584,0.6644,0.7114,0.79391,0.79385616
5000,4,0.09,bernoulli,35,103,0.7508,0.6832,0.717,0.794952000000001,0.79492416
5000,4,0.09,adaboost,31,79,0.754,0.6672,0.7106,0.789743280000001,0.78962048
5000,4,0.1,bernoulli,35,108,0.76,0.6704,0.7152,0.796015280000003,0.79599664
5000,4,0.1,adaboost,29,62,0.7576,0.658,0.7078,0.78584984,0.78554448
5000,5,0.001,bernoulli,37,19842,0.7832,0.7104,0.7468,0.826307839999996,0.82630784
