samplesize,run,coeflearn,TPR,TNR,Accuracy,CVAccuracy,AUC,Concordance
11000,1,Freund,0.742181818,0.715636364,0.728909091,0.709272727,0.808438562,0.808429289
11000,1,Zhu,0.75,0.718727273,0.734363636,0.712727273,0.807778248,0.80776638
11000,2,Breiman,0.748181818,0.725454545,0.736818182,0.724,0.816159405,0.816150017
11000,2,Freund,0.733818182,0.737090909,0.735454545,0.720090909,0.819868099,0.819850843
11000,2,Zhu,0.746545455,0.720909091,0.733727273,0.719,0.816627917,0.816618843
11000,3,Breiman,0.732727273,0.716181818,0.724454545,0.710727273,0.807019058,0.806945719
11000,3,Freund,0.730363636,0.713818182,0.722090909,0.713909091,0.806561256,0.80651762
11000,3,Zhu,0.738,0.729272727,0.733636364,0.710181818,0.812323438,0.812309455
11000,4,Breiman,0.741454545,0.729454545,0.735454545,0.719181818,0.815396479,0.815385719
11000,4,Freund,0.737818182,0.728727273,0.733272727,0.716090909,0.813717405,0.813709521
11000,4,Zhu,0.738363636,0.725636364,0.732,0.712909091,0.815439041,0.815428959
11000,5,Breiman,0.737636364,0.710727273,0.724181818,0.711909091,0.803153868,0.803115438
11000,5,Freund,0.735818182,0.728545455,0.732181818,0.710090909,0.809803438,0.809789752
11000,5,Zhu,0.737818182,0.731090909,0.734454545,0.709,0.810294777,0.81026919
12000,1,Breiman,0.7345,0.726,0.73025,0.719083333,0.811850181,0.811836611
12000,1,Freund,0.737,0.730833333,0.733916667,0.715166667,0.815424333,0.815391
12000,1,Zhu,0.729,0.728333333,0.728666667,0.715833333,0.8141935,0.814175944
12000,2,Breiman,0.739,0.719,0.729,0.716666667,0.809930944,0.809910528
12000,2,Freund,0.749,0.710833333,0.729916667,0.715083333,0.811740667,0.811719861
12000,2,Zhu,0.732666667,0.729333333,0.731,0.712416667,0.814029764,0.814020306
12000,3,Breiman,0.756666667,0.715,0.735833333,0.724416667,0.814114125,0.814097528
12000,3,Freund,0.757833333,0.7195,0.738666667,0.718583333,0.816800194,0.816792
12000,3,Zhu,0.743166667,0.720833333,0.732,0.72,0.812930667,0.812919056
12000,4,Breiman,0.746833333,0.722833333,0.734833333,0.724666667,0.817430125,0.817407222
12000,4,Freund,0.740666667,0.729333333,0.735,0.720916667,0.816513806,0.816504556
12000,4,Zhu,0.744,0.733166667,0.738583333,0.718666667,0.819866694,0.819844611
12000,5,Breiman,0.731666667,0.719,0.725333333,0.71575,0.806763806,0.806736472
12000,5,Freund,0.736666667,0.7225,0.729583333,0.711166667,0.81164925,0.811634333
12000,5,Zhu,0.743666667,0.718,0.730833333,0.711333333,0.809488389,0.809450917
13000,1,Breiman,0.744,0.718307692,0.731153846,0.722307692,0.811047136,0.811013018
13000,1,Freund,0.760153846,0.706461538,0.733307692,0.716769231,0.809584462,0.809563385
13000,1,Zhu,0.741076923,0.726461538,0.733769231,0.719076923,0.81404045,0.814017278
13000,2,Breiman,0.745538462,0.729076923,0.737307692,0.723615385,0.812379337,0.812359574
13000,2,Freund,0.744769231,0.726923077,0.735846154,0.721153846,0.817184686,0.81716845
13000,2,Zhu,0.738153846,0.724,0.731076923,0.717153846,0.811563018,0.811559124
